Title,PlotSummary
Lahu Ke Do Rang,"Shamsher Singh (played by Vinod Khanna) is part of the Indian army led by Subhas Chandra Bose to fight the British out of India. With the British on his back to catch him in Hong Kong, he is rescued and helped by Suzy. But she lets him go back to India as he is on a greater mission, asking him to return to take her and their baby along with him to India. Years later his son Raj Singh joins the police force and becomes an Inspector. He is now interested in finding the murderers of his father. Raj and Suraj unite to take revenge for their father"
Chicago Calling,"Bill Cannon's drinking and seeming unwillingness to settle down in a job costs him his family. His wife, Mary, decides to move to her mother's in Baltimore, and is taking her and Bill's daughter, Nancy, with her. A young boy, Bobby Kimball, accidentally hits, but only slightly injures, Bill's dog with his bicycle. The two become friends and Bill learns that Bobby is being raised by an abusive sister, Babs, who intends to place him in an orphanage."
Martin Luther,"The Ninety-Five Theses are copied down, translated, and printed for all of Germany to read, hear, and comment about. The film presents Luther as having undergone his ""reformatory discovery"" through his study of the Epistle to the Romans. Luther is shown in sheer terror at the celebration of his first Mass as a newly ordained priest."
Paradise Alley,"Cosmo and Lenny Carboni are brothers who want to get Victor out of Hell's Kitchen. Victor is persuaded to become a wrestler by Cosmo, who thinks there is big money to be made. Lenny is initially unsure of all this, and constantly tries to warn off Victor, reminding him that he could get hurt."
Chanakya Chandragupta,"The film is a historical story, based on life history the 3rd century BC Maurya Emperor Chandragupta (N. T. Rama Rao) & his advisor / Guru Chanakya (Akkineni Nageswara Rao) The story goes on how both of them destroyed Nanda Dynasty, defeated Alexander The Great (Sivaji Ganesan)"
Ghajini,"Aamir Khan plays Sanjay Singhania, a man reported to have anterograde amnesia. Sanjay loses his memory every 15 minutes. He uses a system of photographs, notes, and tattoos on his body to recover his memory after each cycle. His main target is Ghajini Dharmatma (Pradeep Rawat), a notable social personality in Mumbai."
Hooked Bear,"Park ranger J. Audubon Woodlore goes out on the lake to check on the anglers. He finds Humphrey the Bear trying to catch some fish, but cannot seem to hold onto one once he catches it. The park ranger then gets a telephone call from the chief of the United States Fish and Wildlife Service, who tells him to quit stocking the lake, as fishing season had ended the previous day."
Man in Love,"Tae-il is a low-level thug who goes around the streets of his neighborhood in Gunsan, collecting debts for a loan shark. He meets Ho-jung, a bank clerk who is taking care of her debt-ridden, terminally ill father. He forces her to sign a contract that requires her to sell her organs if she can't pay back her father's debt on time. After their first meeting, he writes a new contract and offers it to her: He will exempt her from the debt if she goes on date with him. As they start to go on awkward ""dates,"" an unlikely romance"
Phoonk 2,"Rajiv's mother has gone to Rishikesh, so he stays there only with his wife Aarti, 2 kids and housemaid Laxmi. Rajiv soon realizes that Madhu has returned from the grave and wants revenge. The ghost attacks Rajiv and Raksha, and stabs Rajiv, and then moves to kill Raksha."
5 Card Stud,"In 1880, a gambler in the small town of Rincon, Colorado is caught cheating at a five-card stud poker game. One of the players, Van Morgan, tries to prevent the others from administering frontier justice, but is unable to stop the man's lynching. Morgan leaves town, but later returns when he hears that a couple of the other players from that ill-fated game have become victims of grisly murders. He discovers the identity of the killer just in time."
"Neighor, The !The Neighbor","A man, whose identity is known, kills his own neighbors and continues to stay in his building. Neighbors in the film are reluctant to act due to self-interest. One character does not want the property price to fall after a scandal. Another wants to avoid attention from the police, as he has just five months left before his statute of limitations runs out."
Gopi Kishan,"Kishan had killed a man in his childhood, when the latter tried to molest his mother. He learns that his father Suraj Malhotra was a jeweller who killed his partner and ran away with some precious jewels. He decides to avenge his father for all his wrongdoings. Meanwhile, Gopi, a doppelgänger in the police force, works as a constable in the force."
Jigarthanda,"Karthik Subramani (Siddharth) is a short-film maker and aspires to make a feature film. He finds out about ""Assault"" Sethu (Bobby Simha), a ruthless gangster in the city of Madurai, and decides that he will make a film about the life of Sethu. Sethu is enamored by the prospect of his life being portrayed on the big screen."
Parole Girl,"Sylvia Day (Mae Clarke) is caught trying to pull a scam on the Taylor Department Store in New York City. She pleads with the store manager to let her go, but his boss, Joe Smith, insists on following store policy. Sylvia is consumed with the idea of getting revenge on Joe. She becomes friends with chatty fellow inmate Jeanie Vance (Marie Prevost) who offers to team up with her (and commit more crimes) once they have served their time."
Dragon Squad,"Interpol agents arrive in Hong Kong to give testimony against recently captured crime boss Tiger Duen. They are led by the Ex 707th Korean commander Ko Tung Yuen, along with his best friend American Petros Angelo (Former Colombian Armed Forces), Yuet Song a Viet/Chinese sniper, Joe Pearson another ex US Navy SEALS and Lee Chun Pei another Korean operative."
Teacher's Pet,"Spot is a dog who wants nothing more than to be a boy, a fantasy he has been fulfilling for one year, dressing as a boy named Scott Leadready II, and going to school with his master Leonard Helperman. Spot and Leonard meet up at a gas station, where Spot chases down the RV, chases it to Florida. Spot tells Leonard that he wants to become a man, but the happiness quickly fades when Krank tells him that he will have to travel around with him forever to prove that Krank is not a wacko."
Drug War,"Captain Zhang Lei poses as ""Uncle Bill"", to become a supplier to Haha, who owns a port and can distribute drugs to other countries. Choi plants recording devices in his factory, setting up the real Haha with the real Uncle Bill. Choi pleads for a second chance to live by trading more information on other gangsters before he is killed by lethal injection."
Smart Woman,"District Attorney Bradley Wayne (Otto Kruger) is in league with crime boss Frank McCoy (Barry Sullivan) McCoy blackmails the best defense lawyer around, Paula Rogers (Constance Bennett), into defending Johnson. Afterward, Larrimore begins dating Rogers and the couple make it into the newspapers."
Hit and Run,"Charlie Bronson (Dax Shepard) is enrolled in the Witness Protection Program, staying in Milton, California under the supervision of incompetent U.S. Marshal Randy Anderson. Charlie's girlfriend Annie Bean (Kristen Bell) is a professor at Milton Valley College and has a doctorate in Non-Violent Conflict Resolution from Stanford University. Charlie insists Annie interview for the job for her own sake, even though he would be unable to follow her."
City War,"Drug lord Ted Yiu, who was imprisoned by Ken two years ago, was released from prison and Ken's former partner Ho Ka Ting is mysteriously killed. Later, Ted also laid traps to trick Ken, which cause his disciplinary punishment by the police. On the other hand, Dick incidentally meets Penny, who is Ted's lover. A tangled conflict later brakes off in the city."
Panama Lady,"Lucille Ball essays the old Twelvetrees role as Lucy, a nightclub ""hostess"" stranded in Panama by her ex-lover Roy. Oil rigger McTeague (Allan Lane) holds Lucy responsible for a shakedown orchestrated by Roy. Lucy eventually realizes that his intentions are honorable: All he wants is his money back."
Inspector Vikram,"Vikram (Shivarajkumar), also known as Inspector Vikram, is a happy go lucky cop, who has no problem getting himself into trouble with his superiors. During the course of the movie, Vikram courts many brickbats and transfers in his career. When an inmate Raja (Chi Guru Dutt) escapes from prison Vikram is called back in to track him down."
Showdown,"Ben gets in a fight after getting drunk and he and Chris Foster are put in iron collars, chained to a killer, LaValle. They manage to escape but La Valle wants them to rob a bank. The two cowboys are tied up with a killer who wants to rob the bank."
Romeo Is Bleeding,"Jack Grimaldi is a corrupt cop who does favors for the Mafia in exchange for large fees. He has a loving wife, Natalie, and an adoring mistress, Sheri. Both the cops and mob are outwitted by a psychopathic Russian female mob assassin, Mona Demarkov."
Lovers Lane,"13 years ago, Dee-Dee (Diedre Kilgore) and Jimmy (Carter Roy) are making out in their car when a maniac wielding a steel hook attacks them. The pair escape the car and find another couple, Harriet and Ward, slaughtered in the car next to theirs. The killer, Ray Hennessey (Ed Bailey) is caught, and revealed to be one of Jack's patients who had an obsession with Harriet. Ray is incarcerated in a nearby state institution for the criminally insane and gains the nickname 'The Hook' Present day, Chloe (Sarah Lancaster) and Michael (Riley Smith)"
The Big Bird Cage,"Blossom (Pam Grier) is the girlfriend of a radical guerrilla leader, Django (Sid Haig) She and Django devise a plan to liberate the inmates of a local women's prison. Terry (Anitra Ford) ends up in the prison herself because of Blossom and Django's earlier robbery. She is forced to deal with crazy inmates, gay guards, and torture of the cage."
Njandukalude Nattil Oridavela,"Sheela Chacko (Shanthi Krishna) has a doubt that she is developing cancer after finding a lump on her body. She tells her husband that she has Stage II breast cancer, but there isn't a problem and she can undergo chemotherapy. Sheela starts losing her hair as a side effect and temporarily quits her lecturing job. Meanwhile, Kurien meets his old friend Subbu (Krishna Shankar) with whom he planned a supermarket chain but Subbu ended up being a supermarket owner on his own."
Orada,"The son and the daughter bury their mother and set off to find their father, a recluse in the family house on one of the Princes' Islands. As the three members of the family come together, it turns into a day of painful confrontations. The film is set in Istanbul, Turkey, at the end of the year."
So Close,"Lynn and her sister Sue are computer hackers, assassins and espionage specialists. They use their late father's secret satellite technology to gain an advantage over their rivals and law enforcement agents. The cat-and-mouse chase becomes more complicated as both the police and the thugs are out to get Lynn and Sue."
Legend of the Guardians: The Owls of Ga'Hoole,"Soren, a 17 year old barn owl, lives in the Tyto Forest with his family. His older brother, Kludd, betrays Soren and is sent to be a soldier. The owlets are forced to ""pick"" through owl pellets, scouring for bits of metal ""flecks"" which are being used to build a superweapon. They are reunited with Mrs. P who is brought in by Twilight, and Digger, a burrowing owl, and rest with them in their shared hollow. The band flies towards the sea of Hoolemere where a flock of crows chaotically guides them"
Freaks,"The film stars as trapeze artist Cleopatra, who seduces and marries sideshow midget Hans after learning of his large inheritance. She conspires with circus strongman Hercules to kill dwarf performer Hans and inherit his wealth. Hercules is chased by the freaks in a storm and not seen again. Interspersed between segments of the main narrative is a variety of ""slice of life"" segments."
Don't Knock Twice,"Jess, an American sculptor, meets with her estranged daughter Chloe and invites her to come live with her and her husband, a wealthy banker named Ben. Strange events start to unfold, beginning when Chloe finds a human molar in her Coriander soup. Chloe is initially hostile to her family and only plans to stay for a few nights. The disturbances stop when Chloe video calls Danny, who is dragged by an unseen force."
The Last Boy Scout,"L.A. Stallions running back Billy Cole receives a phone call from a mysterious man named Milo, who warns him to win the game or he will be assassinated. Joe Hallenbeck, a disgraced former Secret Service agent, discovers that his wife Sarah is having an affair with his best friend and business partner, Mike Matthews. Mike gives Joe an assignment to act as bodyguard for a stripper named Cory. Mike is then killed by a car bomb outside Joe's house. Joe saves Jimmy from a second car bomb, and manages to trick two hitmen into blowing themselves up. Joe is rescued by Jimmy and D"
Rusi Kanda Poonai,"Rusi Kanda Poonai is a gripping emotional story of Savithri and Ramesh, played by Saritha and Sudhakar respectively. The film is based on a novel written by Vijay Sethi. It is set to be released in October 2013."
Solo,"World of Shekhar is based on the Element of Water. The story begins with Ayesha (Arthi Venkatesh) whose cycle collides with a BMW driven by Thomas Zachariah (Renji Panicker), a rich businessman, disposes it on the road. Siva's life changes when his father is found shot in a bar and Siva decides to take revenge. Years later, Siva is now a gangster working under his mentor Bhadran, a crime boss."
Kamaraj,"The narration is divided into three phases. The pre-Independence period, depicting Kamaraj's childhood, the influence of Satyamurthy, his growth as a politician and his prison life. The second phase depicts his taking over as the Congress Chief Minister of the state, the reforms he tries to bring in, especially in education, his largesse and his bending the rules for a good cause-like for the urgent eye-operation of a kid."
Hot Millions,"Marcus Pendleton has just been released from prison for embezzlement. As Caesar Smith, Pendleton uses the company's computer systems to send claim cheques to himself under various aliases and addresses all over Europe. Beating discovery of his fraud by Willard Gnatpole - he and Patty flee to Brazil, and are soon followed by Klemprer and Gnatpool."
Wilson,"Woodrow Wilson (Alexander Knox) is best known as the head of Princeton University and the author of several books on the democratic process. As the U.S. is going through a progressive change in national politics and a split is developing in the opposing Republican Party. As World War I is breaking out in Europe in 1914, his wife Ellen dies of bright's disease. Overcome with grief and loneliness, the President, carries on. He meets Edith Bolling Galt, a Washington D.C. widow, and they find themselves in love."
Coast Guard,"Lieutenant Thomas ""Speed"" Bradshaw (Randolph Scott) is a highly regarded, but reckless pilot. In a daring rescue at sea, both men are involved in saving Tobias Bliss (Walter Connolly), the captain of a tramp steamer. In trying to win her back, Speed crashes while stunting over her house. Both friends fall in love with her, but Speed proposes first; broken-hearted Ray still acts as the best man at the wedding."
Aranyer Din Ratri,"The plot of the movie goes back to a similar outing the writer Sunil Gangopadhyay took in the early days of his poetic career. The story unfolds around a group of four friends, quite unlike each other and yet bonded together deeply. They set out for the tribal Palamau, in Bihar, to tear themselves away from their regulated city life."
Rosie!,"Rosie Lord is a widowed millionaire who, much to the dismay of her daughters Mildred (Meadows) and Edith (Brown), spends her money generously. Edith and her husband Cabot (Nielsen) complain that they are only granted $100,000 a year, and work together with cold-hearted and recently divorced Mildred to discourage Rosie from buying the theater. They are unable to convince her and her legal advisor Oliver (Aherne) to let them take care of her money, and thus decide to try to declare her incompetent, thereby hoping to put her in an insane asylum."
The Terror of Tiny Town,"The Terror of Tiny Town begins with a man on a stage who is the only cast member in the entire film who is of average height. The villain of the film, Bat Haines, comes on stage to say that he will be the biggest star in Hollywood. The two then proceed to argue and try to fight each other."
Hotel California,"The film begins with the City Police Commissioner Bharath Chandran (Joju George) jumping over the compound wall of a house who is having an affair with the house owner's wife. It shifts to Kamala Nambiar (Maria Roy) a dancer practicing dance receives a call informing that what she ordered is ready. It then shifts to a man at a friend's house asking where his friend and a don named Jimmy is, as there is work for him to do for the man."
Love Bite,"Four teenagers set off to have sex in order to stay alive in the seaside town of Rainmouth. However, the boys have to attract the girls first to complete their mission. Otherwise, they will be hunted and killed by a vicious werewolf that only seems interested in virgins."
Jaan-E-Mann,"Suhaan Kapoor (Salman Khan) and Piya Goyal (Preity Zinta) fall in love in college and elope. He has to keep his marriage a secret in order to further his career as a movie star. When his career hits a low, he returns home to find out that she has left him. He receives divorce papers from his ex-wife Piya, who has settled in New York, wants a divorce settlement of 5 million rupees. He appeals to his uncle Boney Kapoor, a midget lawyer, for help. He and his uncle hatch a plan to get"
Naked Gun 33⅓: The Final Insult,"Frank Drebin has retired from Police Squad and lives a seemingly happy life with his wife, Jane Spencer-Drebin. Six months after Frank's retirement he is visited by Ed Hocken and Nordberg, who ask for Frank's help with an investigation. Frank volunteers to go undercover in prison to befriend Rocco Dillon and learn the details of the bombing."
Maa Aur Mamta,"Maya (Nutan), a poor girl, is the daughter of a ""chaprasi"" named Gopal (Shivraj) who works for a kind-hearted Catholic priest, Father Henry. Father Henry disappears, and Maya is left literally ""holding the baby"" The local panchayat, believing the worst, drive her away. Years pass and Ram (Jeetendra) grows up into a fine and handsome young man, a college-going student."
"Father Brown, Detective",Father Brown fights to retrieve stones from a diamond cross in Father Brown (Walter Connolly)'s church. Paul Lukas plays infamous jewel thief Flambeau (Paul Lukas) who steals stones from the diamond cross. The crime solving cleric fights to save the soul of the elusive flamboyant thief.
War Machine,"Four-star General Glen McMahon (Brad Pitt) is sent to Afghanistan to prepare an assessment so that the government can end the ongoing war. He is given wide latitude to write it, on the sole condition that he not request more troops. McMahon and his staff decide to recommend a surge of 40,000 additional troops to secure Helmand province in order to stabilize the country. However, the Secretary of State informs McMahon that his report will not be reviewed until after the upcoming presidential election. McMahon secretly leaks the assessment to the Washington Post and organizes an interview with 60 Minutes. In response, the government announces that they will send"
The Highwayman,The Highwayman is an aristocrat who leads a party of associates to hold up the well-to-do and distribute their takings to the needy. This campaign is broadened when they discover that innocents are being kidnapped and sold into slavery in the colonies. The finale sees the Highwayman being shot down on the highway as he gallops to take revenge.
Indian Summer,"""Unca"" Lou Handler (Alan Arkin), the beloved camp director and owner of Camp Tamakwa, invites eight former campers, all now adults, back to the camp to announce his retirement. Lou claims to have chosen these friends as they were the group from the camp's ""golden years"" 20 years ago."
Mortal Kombat,"Mortal Kombat is a fighting tournament between the representatives of the realms of Earth and Outworld. If the realm of Outworld wins the tournament ten consecutive times, its Emperor Shao Kahn will be able to invade and conquer the Earthrealm. Liu, Johnny Cage and Sonya Blade were handpicked by Raiden, the god of thunder and defender of the Earth realm, to overcome their powerful adversaries. Each of the three has his or her own reason for competing."
Spanking the Monkey,"Susan Aibelli suffers a leg injury at home just as her husband is about to leave on his job as a travelling salesman. Her son, Raymond, is forced to stay at home to take care of her as his father cannot. Raymond is left emotionally confused as he and his mother are left alone together, and they develop an incestuous relationship."
Katha Parayumbol,The story revolves around the life of a barber named Balan (Sreenivasan) in a small village called Melukavu in Kerala. The barber is financially constrained and has to raise a family with three children. He is not able to cope with the competition from a new air-conditioned beauty salon/parlor.
Escape from the Dark,"Set in 1909, a coal mine in Yorkshire has used pit ponies to haul coal for many years. When they are to be replaced by machinery that will speed up production and increase profits, three children team up in a scheme to steal the horses and give them their freedom. Three children – Dave (Andrew Harrison), Tommy (Benjie Bolgar) and Alice (Chloe Franks) – learn the ponies are being slaughtered."
Manmadhudu,"Abhiram (Nagarjuna Akkineni) 24 is a manager in an ad agency, owned by his paternal uncle Prasad (Tanikella Bharani)42. He despises women and expresses his hatred every minute of every day. He meets and falls in love with Maheswari (Anshu)21, who is the niece of an employee (Chandra Mohan) 51 in Abhi's grandfather's company. Maheshwari's uncle arranges her engagement with another man."
The Naked Truth,"Nigel Dennis (Dennis Price) is a blackmailer who threatens to publish embarrassing secrets in his magazine The Naked Truth. His latest targets are Lord Henry Mayley, TV host Sonny MacGregor, writer Flora Ransom, and model Melissa Right (Shirley Eaton) Several of them decide independently that murder would be a better solution than paying."
Into the White Night,"Detective Sasagaki, who investigated the case, can't forget the main suspect's daughter Yukiho (Maki Horikita) and the pawn shop owner's son Ryoji. As time goes by, more mysterious deaths surround the suspects' daughter and son."
Om Shanti Oshana,"Pooja Mathew (Nazriya Nazim) has grown up to become a tomboy and is now in grade 10 and is fifteen years old. The film begins as Dr. Matthew Devasya (Renji Panicker) anxiously paces the hall outside of a delivery room. A nurse comes out of the delivery room carrying the baby, apologizing that she made a mistake, and confirming that the baby is actually a girl. Pooja is 15 while Giri is seven years older at twenty-two. She constantly tries to attract the attention of Giri, who is a part-time farmer but also teaches"
The Adventurers,A South African soldier hides a cache of diamonds he finds on a body. He returns to the town he left three years earlier where his girl has married a disgraced English officer. Needing funds to get back to pick up the diamonds the Boer enlists the help of a fellow soldier as well as a local hotel keeper.
Krrish 3,"Hrithik Roshan plays Rohit Mehra and his son Krishna Mehra. Krishna is married to Priya (Priyanka Chopra), a journalist for Aaj Tak. Rohit works in a research institute for the Indian government and Krishna, while moonlighting as the superhero Krrish, is regularly fired from various day jobs due to lack of attendance. A deadly disease is spreading in Namibia due to a virus whose antidote has not yet been discovered."
Naayi Neralu,Acchanniah lives with his wife Nagalakshmi and his widowed daughter-in-law in a remote village in Karnataka. His ailing wife believes or rather chooses to believe that her son who died twenty years ago has come back. But his wife accepts this stranger as her long-lost husband.
Insomnia Lover,"An Ding, a freelance insomnia therapist meets a beautiful girl at a beach in Shenzhen. After finding out that she needs help in going to sleep, he makes her falls to sleep on her beach chair and sticks on her chest his business card sticker. The movie ended happily with Miao Tiao finally accepting An Ding's love and reciprocating."
Mischief,"In 1956, the relationship between Jonathan Bellah and Eugene ""Gene"" Harbrough begins to develop. Jonathan's main objective is to win over Marilyn McCauley, in spite of his shyness. Gene has his own love life to maintain with his girlfriend Bunny Miller, as well as counseling Jonathan on how to attract women."
Sadhuram 2,"Dr.Vasudevan (Yog Japee) wakes up one day to find out that they both are stuck in a square room. The only other element in the room apart from the two is the dead body of a man lying in the middle of the room, blood soaked. Soon, Vishal realises that there is a tape recorder near him, he finds a cassette in his pocket, which he plays. The cassette welcomes him to the SQUARE and tells him that his only way of escaping is by finding a clue that only the guy opposite him can see."
Killadi Mappillai,Rajaram (Pandiarajan) and his friend Dhanapal (Chinni Jayanth) are college students and they live together. Rajaram's father (Mohan Gandhiraman) decides to arrange the wedding between Rajaram and his relative Sarasu (Divyasri) Rajaram is first reluctant about this marriage but he accepts because of his father's insistence.
Be Kind Rewind,"In Passaic, New Jersey, the declining ""Be Kind Rewind"" VHS rental store owned by Mr. Elroy Fletcher (Danny Glover) is due to be demolished to make way for high-end development. Mr. Fletcher refuses to rent out DVDs, despite his claims that jazz pianist Fats Waller was born in that building. Mike and Jerry enlist locals to help out in making the movies, using them as starring roles in their films. The success is put to a halt when two court bailiffs (Sigourney Weaver and Paul Dinello) arrive, insisting the films are copyright violations."
Keeping Mum,"Rowan Atkinson stars as the vicar in Little Wallop. The film is based on the murder of his wife and his mistress. The vicar's housekeeper, Grace, becomes entrenched in the life of the family and begins to learn about the problems in the house. Grace commits to solving the problems by killing her husband and mistress."
Dune,"In the distant future, the known universe is ruled by Padishah Emperor Shaddam IV. The most important substance in the empire is the drug known as melange or ""the spice"" It has many special properties, such as extending life and expanding consciousness. Duke Leto Atreides is suspected to be amassing a secret army, which Emperor sees as a potential threat to his rule. The Spacing Guild orders the Emperor to kill the Duke's son, Paul Atreide, who dreams prophetic visions of his purpose. Paul becomes the leader for whom the Fremen have been waiting."
Ekti Tarar Khonje,"It deals with a small-town boy, who comes to Calcutta to be a film actor, and gets involved in a modern-day thugee cult. The film is based on a real-life story of a young boy who gets involved with a cult."
Open Secret,Paul Lester (Ireland) and his wife Nancy (Randolph) are invited to visit Paul's friend Ed Stevens. Stevens turns up under the wheels of a truck along with evidence tying him to an earlier hit-and-run murder. Paul and Nancy's situation goes from bad to dangerous when they stumble upon evidence that could hang the murderers.
Palletoori Pilla,"Shanta (Anjali Devi) is a beautiful village girl. Her neighbor Vasanth (Akkineni Nageswara Rao) loves her without her knowledge. Kampanna Dora (Subba Rao) frequently raids over the villages and looting the inhabitants. When Shanta expresses her love for Jayanth, Vasanth accepts it and get them married. The angry Kampanna attacks the village to destroy them."
Krishnaveni Panjaalai,Hemachandran plays a cotton mill worker in southern Tamil Nadu. Their affection grows into love when the mill closes down following a strike. Life gets hard for them and everyone working along with them. The film is based on a novel written by Nandana in the Tamil Nadu region.
Across the Tracks,"Brad Pitt plays two brothers who have gone very different ways in their past. One of the brothers is a good student and runner set on winning a track scholarship to Stanford University. Billy (Rick Schroder) is a delinquent involved in drugs and crime. While Billy tries to make amends for his past life, it is not an easy task."
Hound-Dog Man,"Clint McKinney and his younger brother Spud talk their father Aaron into letting them go on a hunting trip with their older friend, the womanizing Blackie Scantling. In 1912, Clint and Spud were able to go hunting with their friend, Blackie, for the first time."
Tom Brown of Culver,A young man (Tom Brown) attends Culver Military Academy. He is the only son of a deceased soldier who won the Congressional Medal of Honor. Tom Brown is a young man who is the son of the deceased soldier. He was awarded the Medal of Honour by the President of the United States.
The Sender,"A young man is admitted to a state mental hospital after he attempts suicide at a public beach. He shows no signs of being able to remember even his own name, the doctors call him John Doe #83. Soon after his arrival, Dr. Gail Farmer begins seeing and hearing things around her that have no explanation. Soon she begins to make the terrifying connection to her patient."
In Search of Gregory,"Catherine Morelli goes to the latest wedding of her father, Max, who in turn wants to introduce her there to a potential suitor. Gregory Mulvey is the man who wants to marry Catherine's father. He wants her to meet him and introduce her to him."
Dynaman Movie,"Dr. Kyutaro Yumeno assembles five inventors to his laboratory to stop the Jashinka Empire. Each member has their own goal, but as the Kagaku Sentai Dynaman, they are united to stop them in their tracks. The five inventers have the power to become Dynamen."
Intruder,Co-owner Bill shows up and a fight ensues with ex-boyfriend of cashier Jennifer. Jennifer discovers several bodies and body parts in the storerooms. Bill attacks Jennifer and chases her around the locked building. Bill claims that Jennifer and Craig are responsible for the attack. Bill kills him before Jennifer can get his attention.
Bombay Mittayi,"Suresh (Vinu Mohan) and Sulaiman (Harisree Ashokan) get involved in several activities as exporting of snake venom, Nagamnaickyam and even silver owls. Meanwhile, world-renowned Ghazal artist Mallika Mansoor (Amar Singh) is found to be murdered. Rehana (Rehana) sets up her own inquiry into the murder to find out the murderers."
Kothigalu Saar Kothigalu,"Three friends Romy (Ramesh Aravind), Nani (S. Narayan), Moni (Mohan Shankar), and Urvasi (Prema) are vexed with their wives Urvashi, Premi and Tara. They end up saving a businessman (Mukhyamantri Chandru) who was also attempting suicide. These guys help Chandru in straightening his business and earn a good salary to support their families."
Hiraasat,"Hiraasat is an action film, featuring Mithun Chakraborty and Anita Raj in lead roles. Shatrughan Sinha played the character of an honest police office who could sacrifice everything for his country. Hema Malini, Prem Chopra, Kalpana Iyer and Shakti Kapoor also starred in the film."
Vettai,"Thirumurthy (R. Madhavan) is the elder brother in Thoothukudi. He is very sensitive to violence, in contrast to his younger brother who is brave and rogue. After the death of their father, he takes on the same job by request of his brother. The brothers fall in love with Vasanthi (Sameera Reddy) and Gurumurth falls for her younger sister Jayanthi."
Munimji,"Roopa lives a wealthy lifestyle with her widowed dad, Captain Suresh, and brother, Shekhar. After she returns from abroad, she is told that she must now prepare to get married to her betrothed, Ratan, who is the son of a close friend. Raj then breaks her heart when he tells her that his mother, Malti, has always favored Ratan over him."
Chandrasena,"Mahi has Rama and Lakshmana kidnapped by Ahiravan and Mahiravana. Mahi hides them away in Pataal. Hanuman, the monkey-god, goes to their help. He is stopped by Makardhwaja whom he defeats. Makar takes him to Chandrasena, wife of mahi who worships Rama."
The Green Mile,"In 1935, Paul Edgecomb supervises officers Brutus Howell, Dean Stanton, Harry Terwilliger, and Percy Wetmore at Cold Mountain Penitentiary. Paul is suffering from a bladder infection and receives John Coffey, a physically imposing but mentally challenged black man, into his custody. John begins to demonstrate supernatural powers; he cures Paul's bladder infection, resurrects Mr. Jingles, and heals Melinda Moores, wife of the prison's chief warden, of a brain tumor. John then reveals the story psychically to Paul, and, when doing so, he also releases his supernatural energy into Paul."
Sadgati,"The film is a vicious indictment of the Indian caste system. A poor and low caste village shoemender, Dukhi (Om Puri) goes to the village Brahmin to get the date of his daughter's marriage fixed. The ensuing events turn the tables against the priest, who in the end has to forego the lofty traditions, including that of untouchability."
The Moon-Spinners,"A young English woman named Nicky Ferris (Hayley Mills) takes a trip with her folk musicologist aunt, Frances (Joan Greenwood), to a small coastal inn on the Greek island of Crete. Nicky meets a stranger named Mark (Peter McEnery), who invites her and Aunt Frances to have a meal with him. Mark hints there's more to Stratos than appears."
Devil's Doorway,"A full-blooded Shoshone Indian named Lance Poole distinguished himself in the Civil War, winning the Medal of Honor. Townspeople resent the fact that Lance and his father own a large and valuable piece of land. A doctor refuses to treat Lance's father, while Lance himself is unable to even buy a drink in the local saloon."
Snowball Express,"Johnny Baxter (Dean Jones) is at his corporate middle class job when a probate attorney (David White) tells him that his recently deceased uncle, Jacob Barnesworth, has left him sole ownership of the lucrative Grand Imperial Hotel in the fictional town of Silver Hill, Colorado. Baxter quits his job in a grand spectacle and moves his family to Colorado to take proprietorship of the hotel. The family finds it to be an immense but ramshackle building with no heat and a colorful old codger, Jesse McCord, living in the shed."
Oridathoru Puzhayundu,"The film is about Sumangala (Jayasree Sivadas), a young girl from Valayapatti village in Tamil Nadu, seeking refuge in Kuriachira in Thrissur, Kerala. The villagers come to Kerala hoping to start a new life and settle in a private land which they found."
By the Light of the Silvery Moon,"By the Light of the Silvery Moon relates the adventures of the Winfield family in small town Indiana as daughter Marjorie Winfield's boyfriend, William Sherman, returns from the Army after World War I. Gordon MacRae and Doris Day star in the film."
Local Color,"John Talia is a teenager who aspires to be a painter, despite the fact that his eponymous father strongly disapproves of his interest in art. Talia manages to meet Nikolai Serov, an elderly Russian impressionist painter, who had been successful in the years before the modern art movement threw realism into disrepute. Gradually Talia attempts to befriend the elderly artist, and despite many rebuffs, finally succeeds."
Nala Damayanthi,"Ramji Narayanaswami Iyer (Madhavan) dreams of marrying off his sister Bhagyam to a good family. As per convention he has shell out dowry for the marriage and somehow falls short of the agreed sum. Incidentally the groom's family happens to admire the food cooked by Ramji and plan him to send to Melbourne, Australia as a cook for a multi millionaire Australian based Indian family. The millionaire dies of indigestion the day Ramji arrives, leaving him jobless and without his passport and visa, which had been stolen. Desperate to stay and earn, he starts working"
Crayon Shin-chan: The Storm Called: Operation Golden Spy,"The movie begins with a young female spy, Lemon, infiltrating the World Human Research Center on a mission to find someone known as the ""Blue Key"" Once she finds her target however, it is revealed to be Shinnosuke. Later, back in Kasukabe, Shin-chan is seen enjoying another episode of his favorite show, Action Mask but is shortly scolded by his parents for farting without warning. He then goes out for a walk when out of nowhere, a mask similar to Action Mask's falls from the sky. He puts it on which activates a short video of Action Kamen telling him to become"
